date,close,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,super_large_pct,large_net,large_pct,medium_net,medium_pct,small_net,small_pct,stock_code
2025-12-26,21.58,-0.23,-41824744.0,-9.43,-8099512.0,-1.83,-33725232.0,-7.61,-6484768.0,-1.46,48309512.0,10.89,601225
2025-12-29,21.68,0.46,52351733.0,8.12,2602821.0,0.4,49748912.0,7.72,-9494305.0,-1.47,-42857428.0,-6.65,601225
2025-12-30,21.56,-0.55,99041119.0,18.34,63141372.0,11.69,35899747.0,6.65,-27222762.0,-5.04,-71818357.0,-13.3,601225
2025-12-31,21.32,-1.11,43817383.0,6.37,63261208.0,9.2,-19443825.0,-2.83,-60454937.0,-8.79,16637555.0,2.42,601225
2026-01-05,21.62,1.41,10685612.0,1.3,12974817.0,1.58,-2289205.0,-0.28,-12626269.0,-1.54,1940672.0,0.24,601225
2026-01-06,22.15,2.45,29215999.0,3.05,34285435.0,3.58,-5069436.0,-0.53,-30726112.0,-3.21,1510112.0,0.16,601225
2026-01-07,22.43,1.26,161585098.0,13.27,84329642.0,6.92,77255456.0,6.34,20881312.0,1.71,-182466416.0,-14.98,601225
2026-01-08,22.48,0.22,37273683.0,3.75,-19896919.0,-2.0,57170602.0,5.76,-3432752.0,-0.35,-33840942.0,-3.41,601225
2026-01-09,22.59,0.49,43411782.0,5.55,-10288738.0,-1.31,53700520.0,6.86,2113872.0,0.27,-45525654.0,-5.82,601225
2026-01-12,22.59,0.0,44405742.0,6.37,35262300.0,5.06,9143442.0,1.31,-35210279.0,-5.05,-9195463.0,-1.32,601225
2026-01-13,22.5,-0.4,264411.0,0.03,-24485780.0,-3.11,24750191.0,3.15,-38235901.0,-4.86,37971491.0,4.83,601225
2026-01-14,22.38,-0.53,12255622.0,1.57,-2264164.0,-0.29,14519786.0,1.86,11806538.0,1.51,-24062160.0,-3.08,601225
2026-01-15,22.22,-0.71,74906782.0,12.0,35827789.0,5.74,39078993.0,6.26,1364997.0,0.22,-76271775.0,-12.22,601225
2026-01-16,21.95,-1.22,34866483.0,4.51,26649329.0,3.45,8217154.0,1.06,32372909.0,4.19,-67239392.0,-8.69,601225
2026-01-19,21.91,-0.18,80355650.0,10.33,6565438.0,0.84,73790212.0,9.49,-56713189.0,-7.29,-23642465.0,-3.04,601225
2026-01-20,22.18,1.23,112357251.0,11.28,58563355.0,5.88,53793896.0,5.4,-4247888.0,-0.43,-108109360.0,-10.86,601225
2026-01-21,21.48,-3.16,157839567.0,13.34,68548749.0,5.8,89290818.0,7.55,23895296.0,2.02,-181734864.0,-15.36,601225
2026-01-22,21.89,1.91,150234866.0,13.29,81647029.0,7.23,68587837.0,6.07,-75917152.0,-6.72,-74317728.0,-6.58,601225
2026-01-23,21.41,-2.19,102393601.0,10.45,12951161.0,1.32,89442440.0,9.13,21624368.0,2.21,-124017958.0,-12.66,601225
2026-01-26,21.92,2.38,152309758.0,9.7,57915854.0,3.69,94393904.0,6.01,-10394016.0,-0.66,-141915760.0,-9.04,601225
2026-01-27,21.34,-2.65,25697118.0,2.22,8079630.0,0.7,17617488.0,1.52,38735536.0,3.34,-64432640.0,-5.56,601225
2026-01-28,21.88,2.53,81443840.0,3.72,72254912.0,3.3,9188928.0,0.42,105508272.0,4.82,-186952112.0,-8.54,601225
2026-01-29,22.2,1.46,-72929680.0,-3.86,79106880.0,4.19,-152036560.0,-8.05,57288096.0,3.03,15641584.0,0.83,601225
2026-01-30,22.28,0.36,-205639710.0,-10.7,-12284062.0,-0.64,-193355648.0,-10.06,216722416.0,11.28,-11082688.0,-0.58,601225
2026-02-02,20.93,-6.06,82119136.0,3.51,89157120.0,3.81,-7037984.0,-0.3,155040288.0,6.62,-237159408.0,-10.13,601225
2026-02-03,20.85,-0.38,42732737.0,4.29,2744029.0,0.28,39988708.0,4.01,-10954976.0,-1.1,-31777760.0,-3.19,601225
2026-02-04,22.68,8.78,-254755328.0,-7.77,-397825152.0,-12.13,143069824.0,4.36,99908048.0,3.05,154847296.0,4.72,601225
2026-02-05,22.03,-2.87,-128227675.0,-9.55,-83744603.0,-6.24,-44483072.0,-3.31,140247872.0,10.45,-12020176.0,-0.9,601225
2026-02-06,22.08,0.23,-39147698.0,-4.18,-68051719.0,-7.26,28904021.0,3.08,76226592.0,8.13,-37078893.0,-3.96,601225
2026-02-09,22.66,2.63,-22357092.0,-2.5,-37425537.0,-4.19,15068445.0,1.69,111841856.0,12.52,-89484766.0,-10.01,601225
2026-02-10,23.06,1.77,-15958806.0,-1.79,11878711.0,1.33,-27837517.0,-3.12,61273491.0,6.88,-45314693.0,-5.09,601225
2026-02-11,23.27,0.91,-45253289.0,-5.31,-31107032.0,-3.65,-14146257.0,-1.66,22365798.0,2.62,22887491.0,2.69,601225
2026-02-12,23.38,0.47,-18894632.0,-2.03,-35889351.0,-3.85,16994719.0,1.82,4207168.0,0.45,14687473.0,1.57,601225
