stock_code,report_date,bps,roe,name
300821,2022-06-30,4.323692551383,9.91,东岳硅材
300827,2022-06-30,3.77613764902,2.56,上能电气
300841,2022-06-30,20.812330030998,11.25,康华生物
300850,2022-06-30,10.99810366054,6.85,新强联
300855,2022-06-30,4.433098635343,9.2,图南股份
300856,2022-06-30,10.068487074061,8.85,科思股份
300861,2022-06-30,10.708505340716,15.31,美畅股份
300870,2022-06-30,15.341507562758,0.32,欧陆通
300910,2022-06-30,14.888651186067,6.54,瑞丰新材
300913,2022-06-30,4.90783956702,7.14,兆龙互连
300917,2022-06-30,5.244908938817,6.51,特发服务
300925,2022-06-30,3.484813988499,5.56,法本信息
300926,2022-06-30,6.809863684187,3.95,博俊科技
300953,2022-06-30,16.99824503642,6.78,震裕科技
301000,2022-06-30,11.186341339142,4.52,肇民科技
301004,2022-06-30,6.6133472789,13.44,嘉益股份
301015,2022-06-30,3.839321527938,9.85,百洋医药
301018,2022-06-30,6.248547003708,6.9,申菱环境
301029,2022-06-30,6.00079979078,10.77,怡合达
301031,2022-06-30,11.27929449298,8.43,中熔电气
301035,2022-06-30,20.278697640886,16.77,润丰股份
301039,2022-06-30,5.832154308138,3.08,中集车辆
301047,2022-06-30,48.466913168885,2.95,义翘神州
301050,2022-06-30,12.865902149105,8.95,雷电微力
301061,2022-06-30,20.210934087578,6.7,匠心家居
301071,2022-06-30,9.436206074987,22.8,力量钻石
301078,2022-06-30,2.659207674375,2.33,孩子王
301087,2022-06-30,23.19251562415,2.62,可孚医疗
301091,2022-06-30,9.189666945385,0.15,深城交
301095,2022-06-30,2.479212708133,0.16,广立微
301101,2022-06-30,10.312427234568,3.68,明月镜片
301109,2022-06-30,11.489499086169,5.9,军信股份
301127,2022-06-30,4.842002810119,4.48,武汉天源
301153,2022-06-30,13.479630240556,6.06,中科江南
301155,2022-06-30,24.727439364757,3.5,海力风电
301171,2022-06-30,4.775827542932,9.94,易点天下
301175,2022-06-30,1.592830163717,6.53,中科环保
301177,2022-06-30,16.623845068498,8.08,迪阿股份
301205,2022-06-30,12.937717390677,9.36,联特科技
301207,2022-06-30,13.175870415865,6.74,华兰疫苗
301215,2022-06-30,1.998130488256,2.84,中汽股份
301217,2022-06-30,6.723606652917,5.03,铜冠铜箔
301219,2022-06-30,38.283284354539,8.87,腾远钴业
301238,2022-06-30,8.771332254365,11.09,瑞泰新材
301262,2022-06-30,5.322761014602,10.94,海看股份
301263,2022-06-30,7.433844036085,6.15,泰恩康
301267,2022-06-30,4.13740195464,12.12,华厦眼科
301268,2022-06-30,4.920251538137,8.95,铭利达
301291,2022-06-30,3.406716311382,12.72,明阳电气
301293,2022-06-30,9.772268124534,2.8,三博脑科
301297,2022-06-30,2.682650435912,6.07,富乐德
301316,2022-06-30,,5.82,慧博云通
301325,2022-06-30,4.620927592778,21.68,曼恩斯特
301327,2022-06-30,9.483090739703,26.99,华宝新能
301339,2022-06-30,3.881130644813,5.23,通行宝
301345,2022-06-30,10.233235398415,12.31,涛涛车业
301363,2022-06-30,4.344432801126,12.52,美好医疗
301371,2022-06-30,,16.93,敷尔佳
301376,2022-06-30,4.586027202767,6.9,致欧科技
301377,2022-06-30,2.869393769917,11.61,鼎泰高科
301381,2022-06-30,3.857266259694,9.08,赛维时代
301392,2022-06-30,4.417560418267,9.56,汇成真空
301487,2022-06-30,,4.22,盟固利
301500,2022-06-30,,5.16,飞南资源
301508,2022-06-30,4.88096861142,8.71,中机认检
301510,2022-06-30,1.941015792667,4.19,固高科技
301511,2022-06-30,,12.95,德福科技
301522,2022-06-30,3.385153967695,5.88,上大股份
301526,2022-06-30,,,国际复材
301550,2022-06-30,,,斯菱智驱
301551,2022-06-30,4.081067750667,10.53,无线传媒
301556,2022-06-30,6.308625097248,6.93,托普云农
301565,2022-06-30,3.756923276382,14.17,中仑新材
301571,2022-06-30,7.626945914708,2.35,国科天成
301589,2022-06-30,33.883768416667,9.37,诺瓦星云
301592,2022-06-30,3.67745476,-9.46,六九一二
